item_weight,item_fat_content,item_visibility,item_type,item_mrp,outlet_establishment_year,outlet_size,outlet_location_type,outlet_type,item_outlet_sales
10.895,1,0.06504158,6,196.3794,2007,1,1,1,3121.2705
12.15,1,0.028760012,9,151.4708,2007,1,1,1,4815.0654
7.905,1,0.010053105,13,249.0408,2009,1,2,2,6258.52
9.195,1,0.048157338,9,106.1622,2002,1,1,1,2117.244
8.365,1,0.0719582,7,38.0506,1999,1,0,1,796.9626
15.1,1,0.1734813,13,194.511,1997,2,0,1,4910.275
12.857645,1,0.061082177,3,180.0344,1985,2,0,0,892.172
10.0,1,0.0,6,246.9144,2009,1,2,2,3185.1873
7.97,2,0.04007113,10,87.3514,2002,1,1,1,1062.6168
12.857645,1,0.012090074,6,38.2848,1985,1,2,3,484.7024
12.857645,2,0.15028599,5,51.0692,1985,2,0,0,147.8076
12.857645,1,0.026015518,13,255.8356,1985,1,2,3,2543.356
17.7,0,0.19506823,13,185.4266,1998,1,2,0,184.4266
19.35,1,0.033082213,10,172.5738,2004,2,1,1,4865.6665
13.65,2,0.07894646,4,186.024,2002,1,1,1,1118.544
17.6,1,0.041700754,14,164.8526,2002,1,1,1,2302.3364
8.645,1,0.14342265,8,95.841,1997,2,0,1,2027.361
15.6,2,0.105296075,13,170.1764,1997,2,0,1,3435.528
15.85,2,0.1215315,0,59.222,1987,0,2,1,599.22
18.25,1,0.0,15,164.7526,2002,1,1,1,4604.673
7.855,1,0.011324862,3,189.6188,2007,1,1,1,2285.0256
7.825,3,0.18635716,9,254.3698,1999,1,0,1,5580.736
8.39,2,0.02420566,5,114.0176,1997,2,0,1,2290.352
12.85,1,0.033230815,13,172.3422,1999,1,0,1,1207.0955
12.857645,1,0.11372034,0,89.9804,1985,2,0,0,643.1628
19.0,1,0.11255651,5,104.9622,2007,1,1,1,1587.933
5.905,1,0.0,3,222.5456,2002,1,1,1,5305.094
7.76,1,0.05935224,13,101.87,1997,2,0,1,1697.79
11.8,4,0.014087057,5,180.3344,1997,2,0,1,1427.4752
16.75,3,0.045230944,13,187.9556,2009,1,2,2,4693.89
12.857645,1,0.29341775,9,194.6136,1985,2,0,0,583.2408
12.857645,2,0.031382043,0,171.3764,1985,1,2,3,3091.975
15.5,2,0.12639886,6,177.0028,2007,1,1,1,2479.4392
6.055,1,0.025403898,6,160.992,2004,2,1,1,2716.464
12.857645,2,0.039057676,2,155.963,1985,1,2,3,3285.723
6.305,2,0.12311576,13,95.6436,1997,2,0,1,661.8052
20.85,1,0.039624006,10,117.2808,1999,1,0,1,1523.3503
20.75,1,0.04042119,6,122.173,1998,1,2,0,369.519
8.895,1,0.10527411,4,39.9138,1999,1,0,1,690.4346
19.6,1,0.033970196,14,55.1614,2002,1,1,1,1381.535
19.7,1,0.053212654,6,57.893,2004,2,1,1,622.523
9.8,1,0.024378706,8,114.5492,2004,2,1,1,1274.3412
12.857645,1,0.009714595,5,120.0414,1985,2,0,0,487.3656
12.15,1,0.13138376,5,246.046,1999,1,0,1,1231.73
8.75,2,0.07461309,6,187.4556,2004,2,1,1,3755.112
12.857645,1,0.028459761,9,149.9708,1985,1,2,3,4363.6533
8.75,2,0.0746272,6,187.8556,1997,2,0,1,1314.2892
13.3,1,0.06369508,5,151.0708,2002,1,1,1,1805.6497
12.857645,2,0.04579783,13,178.5344,1985,1,2,3,2854.9504
8.31,2,0.11585722,13,179.1028,1999,1,0,1,3896.2617
16.75,2,0.024832806,14,38.7822,1987,0,2,1,667.7974
19.75,1,0.034027908,13,212.0902,2009,1,2,2,3185.853
17.1,2,0.0467696,3,141.1838,1987,0,2,1,2247.7407
10.5,2,0.1165767,0,163.121,1987,0,2,1,1794.331
6.635,2,0.0,0,121.3098,2002,1,1,1,2530.7058
12.857645,3,0.2789741,14,225.372,1985,2,0,0,679.116
14.15,1,0.035913806,14,41.4138,1987,0,2,1,812.276
13.3,1,0.07980627,4,232.53,1997,2,0,1,699.09
8.89,3,0.005505481,5,102.4016,2007,1,1,1,2732.443
12.857645,2,0.064625345,10,176.937,1985,2,0,0,176.437
12.857645,1,0.07163694,13,121.7098,1985,1,2,3,4097.333
9.1,2,0.0,1,173.2054,2002,1,1,1,3151.8972
7.5,1,0.032677677,5,239.0906,1999,1,0,1,5942.265
16.85,2,0.16076006,5,192.4478,2007,1,1,1,4843.695
7.485,1,0.06911065,13,109.0228,2004,2,1,1,2542.0244
11.6,1,0.041177504,14,140.3154,2007,1,1,1,2552.6772
11.65,1,0.04008119,13,227.0694,2009,1,2,2,1141.847
13.0,1,0.03530732,9,47.5034,2007,1,1,1,680.4476
12.65,0,0.063017845,14,159.0578,2002,1,1,1,2085.9514
20.25,2,0.17193878,3,92.512,1998,1,2,0,186.424
8.6,2,0.04019793,3,190.153,2004,2,1,1,3036.048
12.6,1,0.049058013,1,62.7194,2007,1,1,1,866.8716
17.7,1,0.01161096,5,95.041,2004,2,1,1,868.869
14.15,1,0.1835073,14,82.4276,1997,2,0,1,1137.1864
19.25,1,0.10234952,4,52.7956,2007,1,1,1,928.1252
8.88,1,0.086708985,7,151.7682,1987,0,2,1,762.341
20.5,1,0.03283515,9,40.2822,2002,1,1,1,707.0796
12.857645,1,0.03380991,3,180.5976,1985,1,2,3,7968.2944
13.5,1,0.07266912,9,160.292,1997,2,0,1,1438.128
12.857645,1,0.14433849,8,224.4404,1985,1,2,3,6976.2524
8.89,1,0.009163216,5,101.7016,1998,1,2,0,101.2016
7.855,1,0.011307038,3,188.5188,2009,1,2,2,952.094
7.235,1,0.07685563,9,116.0492,1997,2,0,1,1969.4364
12.857645,1,0.059956875,15,165.4526,1985,1,2,3,5262.4834
6.92,1,0.038532063,4,60.5852,2002,1,1,1,1314.2892
9.3,1,0.043209583,6,90.8172,2007,1,1,1,535.3032
18.5,1,0.056816466,11,132.1284,1998,1,2,0,263.6568
8.02,1,0.019866705,9,154.5972,2004,2,1,1,1402.1748
9.195,1,0.048331715,9,105.1622,2007,1,1,1,1693.7952
12.8,1,0.091221854,11,105.5938,2002,1,1,1,2143.876
16.6,1,0.027622076,9,177.6344,1999,1,0,1,2676.516
14.0,2,0.0,5,53.064,2004,2,1,1,905.488
18.6,1,0.03935595,5,246.3802,1999,1,0,1,7370.406
16.0,1,0.060836524,15,226.8404,2004,2,1,1,6301.1313
17.6,1,0.0823165,8,160.692,2004,2,1,1,1597.92
21.25,1,0.1553503,13,178.237,2004,2,1,1,529.311
7.235,1,0.07684109,9,117.5492,2004,2,1,1,1969.4364
14.6,1,0.15141918,14,50.3692,2007,1,1,1,1034.6532
13.85,4,0.026001977,5,161.521,2009,1,2,2,1794.331
13.65,2,0.07320945,5,197.6426,2009,1,2,2,2768.3965
12.857645,1,0.04168348,14,31.29,1985,1,2,3,898.83
7.365,1,0.042560253,6,226.172,1997,2,0,1,3169.208
18.35,1,0.014081156,9,223.5746,2009,1,2,2,3589.9937
5.465,2,0.0,0,132.5626,2009,1,2,2,262.3252
18.6,1,0.15291838,2,99.8358,2007,1,1,1,1910.1802
13.85,1,0.030969273,14,140.9154,2007,1,1,1,1701.7848
14.0,2,0.060376775,5,154.5656,1987,0,2,1,2471.4497
14.0,2,0.04192285,13,54.764,1987,0,2,1,1331.6
12.857645,1,0.07736743,6,97.0094,1985,1,2,3,1808.9786
5.905,1,0.04583821,3,222.5456,2009,1,2,2,3315.684
7.27,1,0.071077935,14,114.2518,1997,2,0,1,2618.5913
6.155,2,0.09465987,10,214.556,1997,2,0,1,2769.728
19.5,2,0.07760884,14,233.4958,2007,1,1,1,5375.0034
15.2,1,0.021327477,3,216.8824,2007,1,1,1,2838.9712
12.15,2,0.042485446,3,125.0046,2009,1,2,2,1743.0645
12.857645,1,0.025578527,9,198.8084,1985,1,2,3,5555.435
12.6,1,0.0489808,1,61.9194,2009,1,2,2,619.194
14.5,1,0.019471688,11,164.821,2004,2,1,1,2120.573
16.6,1,0.12291885,6,173.0738,2007,1,1,1,3823.0237
11.8,2,0.057373796,10,151.4366,1987,0,2,1,1360.2294
13.1,2,0.044155598,6,178.8318,1987,0,2,1,3969.4995
17.7,1,0.2918654,6,115.1834,1998,1,2,0,345.5502
17.85,0,0.0,1,196.5794,1998,1,2,0,585.2382
12.3,2,0.06475002,15,92.6804,2002,1,1,1,1010.6844
11.8,1,0.09831242,8,81.4618,1998,1,2,0,161.1236
12.857645,2,0.19101366,14,42.1112,1985,2,0,0,42.6112
11.1,1,0.17657304,0,157.4604,2002,1,1,1,3010.7476
12.857645,2,0.06013444,5,153.0656,1985,1,2,3,6024.158
11.3,1,0.007294652,10,198.1426,2002,1,1,1,988.713
12.857645,1,0.12847847,8,117.944,1985,2,0,0,239.688
5.75,2,0.07510766,4,112.8176,1987,0,2,1,1374.2112
12.857645,2,0.049381405,0,226.8062,1985,1,2,3,4739.83
11.35,2,0.045165796,13,100.0016,2009,1,2,2,1012.016
12.857645,2,0.09415375,6,165.7526,1985,2,0,0,657.8104
14.0,1,0.028907832,8,130.431,1999,1,0,1,778.986
19.75,2,0.01805962,5,179.766,2002,1,1,1,2336.958
6.525,1,0.09043609,9,85.0882,1999,1,0,1,2233.0933
10.3,1,0.1463997,10,103.9648,1999,1,0,1,1661.8368
5.78,2,0.074264355,13,264.7568,1999,1,0,1,4745.8223
11.85,2,0.050186727,6,164.1526,2002,1,1,1,3124.5994
16.35,1,0.020631654,6,50.1324,2009,1,2,2,467.3916
12.857645,1,0.01561108,9,182.5976,1985,1,2,3,5070.733
10.5,1,0.041395444,6,37.6164,1997,2,0,1,540.6296
19.0,2,0.09731313,5,48.0718,1997,2,0,1,992.7078
14.6,1,0.059582997,11,238.8538,1999,1,0,1,6008.845
12.857645,2,0.09866365,4,62.9194,1985,1,2,3,2105.2595
12.857645,4,0.10133865,3,232.63,1985,1,2,3,5359.69
18.75,1,0.052146457,8,104.628,2002,1,1,1,745.696
5.26,2,0.041764487,0,161.8868,2004,2,1,1,3275.736
18.25,1,0.054344185,13,140.2154,2002,1,1,1,1701.7848
12.857645,1,0.07836249,0,177.937,1985,1,2,3,6704.606
15.1,1,0.05233907,10,242.7512,1997,2,0,1,4119.97
15.5,2,0.04246496,0,81.5934,1998,1,2,0,327.5736
13.65,1,0.06573288,5,45.7402,1999,1,0,1,780.9834
16.1,0,0.023625113,14,189.3846,2002,1,1,1,3630.6074
12.857645,2,0.051643606,13,107.3622,1985,2,0,0,317.5866
12.85,1,0.16569422,5,39.7164,1998,1,2,0,231.6984
9.5,0,0.0418784,14,32.99,2004,2,1,1,133.16
13.8,1,0.05809148,4,245.1802,2004,2,1,1,5650.6445
5.78,2,0.0,13,263.7568,2007,1,1,1,2636.568
19.7,1,0.026903713,9,96.0726,2002,1,1,1,1272.3438
14.65,1,0.0,9,161.5552,1998,1,2,0,324.9104
6.67,2,0.15055472,13,130.0626,1998,1,2,0,131.1626
6.11,2,0.0,6,131.2968,1998,1,2,0,260.9936
13.65,2,0.13497563,5,260.0936,1998,1,2,0,260.9936
17.2,1,0.15616879,10,160.6578,1987,0,2,1,3690.5293
6.32,0,0.0,10,40.2822,2004,2,1,1,1139.1838
4.88,2,0.13370076,0,52.9298,1999,1,0,1,1995.4026
5.425,2,0.115119904,0,88.3514,2007,1,1,1,1416.8224
15.85,2,0.110030994,5,37.2506,1997,2,0,1,265.6542
7.5,1,0.051038045,3,121.7072,2007,1,1,1,3552.7087
12.65,1,0.062837966,14,161.5578,1987,0,2,1,2406.867
12.857645,1,0.017116982,11,211.956,1985,2,0,0,213.056
20.75,1,0.024129331,6,124.173,1987,0,2,1,2956.152
12.857645,1,0.049754974,4,152.134,1985,2,0,0,153.134
9.0,1,0.0,3,79.7644,2004,2,1,1,1649.8524
12.857645,1,0.10156157,3,181.9292,1985,1,2,3,3101.2964
12.857645,1,0.005949644,9,165.6526,1985,1,2,3,4769.1255
12.857645,2,0.13956116,12,170.4764,1985,1,2,3,3435.528
14.1,1,0.12603569,6,86.4198,2002,1,1,1,1133.8574
7.55,1,0.027164679,3,152.334,2004,2,1,1,2603.278
13.0,1,0.09932528,9,45.406,1997,2,0,1,605.878
12.857645,1,0.04357366,7,192.8846,1985,1,2,3,2293.0151
12.857645,2,0.082741484,13,118.7782,1985,2,0,0,119.1782
12.3,2,0.064565204,15,92.9804,1987,0,2,1,1929.4884
12.857645,0,0.08455457,13,109.8912,1985,1,2,3,2074.6328
12.857645,1,0.058451805,8,79.9618,1985,1,2,3,241.6854
17.25,1,0.113748685,9,251.3724,2002,1,1,1,6795.155
15.85,1,0.020603511,9,42.7112,2007,1,1,1,639.168
18.85,1,0.052044977,8,192.1846,2004,2,1,1,3248.4382
16.35,2,0.06276443,6,227.6062,2007,1,1,1,7222.5986
14.1,1,0.08797726,4,229.0668,2004,2,1,1,3225.1353
7.905,1,0.010010425,13,249.0408,2004,2,1,1,3755.112
12.0,1,0.033946164,3,179.3976,1987,0,2,1,3440.8545
12.15,2,0.05841468,6,163.4552,2004,2,1,1,974.7312
10.1,1,0.027106458,10,75.367,1999,1,0,1,535.969
17.5,1,0.027022883,5,262.491,2007,1,1,1,5259.82
12.857645,1,0.05815341,4,152.034,1985,2,0,0,306.268
17.1,1,0.12893766,6,112.3886,2009,1,2,2,1779.0176
7.785,1,0.0888463,6,61.451,1999,1,0,1,759.012
11.8,2,0.09357779,13,125.9704,1987,0,2,1,1877.556
13.15,2,0.16569468,6,171.8764,2002,1,1,1,3779.0808
12.857645,1,0.14839262,5,41.5796,1985,2,0,0,41.2796
8.5,1,0.0984384,3,51.1324,2007,1,1,1,259.662
8.645,1,0.14330329,8,96.341,1987,0,2,1,193.082
17.6,2,0.076276205,10,110.9202,2002,1,1,1,1687.803
9.1,1,0.17510344,0,127.5362,2007,1,1,1,4655.9395
12.8,2,0.02351137,10,225.9404,1987,0,2,1,4950.8887
7.63,1,0.06105276,14,95.4436,2004,2,1,1,1418.154
9.285,2,0.04955904,5,246.4144,2007,1,1,1,1225.072
13.6,2,0.11941812,4,231.03,2002,1,1,1,5359.69
8.895,1,0.0725456,2,176.237,2002,1,1,1,1764.37
16.35,1,0.090486825,9,195.211,1987,0,2,1,2553.343
17.6,1,0.056245074,5,43.3454,1987,0,2,1,1006.6896
7.975,1,0.014618973,0,85.225,1987,0,2,1,1081.925
15.85,1,0.043479126,15,36.7164,2007,1,1,1,308.9312
15.7,1,0.045166235,5,178.666,1987,0,2,1,2516.724
8.985,2,0.0578271,5,128.831,1997,2,0,1,1428.141
20.35,1,0.08939476,4,260.1594,1987,0,2,1,2093.2751
6.59,1,0.10550944,6,85.6908,1987,0,2,1,1929.4884
19.85,1,0.005234153,4,264.0884,2004,2,1,1,5829.7446
16.85,1,0.036390174,13,91.4488,1997,2,0,1,2082.6223
12.857645,1,0.03292824,10,173.1738,1985,1,2,3,7298.4995
16.75,1,0.08125254,6,256.4988,1987,0,2,1,7452.9653
17.6,2,0.076552406,10,110.5202,2007,1,1,1,450.0808
7.905,1,0.016758569,13,250.4408,1998,1,2,0,500.6816
12.857645,1,0.044248175,13,126.202,1985,1,2,3,3668.558
7.785,2,0.038288087,6,103.1964,2009,1,2,2,736.3748
7.825,1,0.18603268,9,253.0698,2004,2,1,1,6088.075
12.857645,1,0.031867463,9,101.0016,1985,1,2,3,2125.2336
20.75,1,0.0213702,14,153.0024,2007,1,1,1,2277.036
12.857645,1,0.19377257,6,190.3846,1985,2,0,0,573.2538
6.26,2,0.009866049,10,151.1366,2004,2,1,1,2267.049
18.2,1,0.08255104,6,147.3734,1998,1,2,0,296.9468
13.0,1,0.09972989,9,46.306,2009,1,2,2,559.272
20.25,2,0.01880155,6,222.1772,2004,2,1,1,5559.43
8.695,1,0.11972145,9,95.5094,1999,1,0,1,1237.7222
7.27,1,0.07122209,14,113.5518,2002,1,1,1,569.259
12.857645,2,0.06037196,2,174.0712,1985,1,2,3,3866.9663
12.85,3,0.03328754,6,198.4768,2002,1,1,1,1379.5376
7.075,1,0.05858462,4,142.7128,2009,1,2,2,1869.5664
12.857645,2,0.11679292,0,196.211,1985,1,2,3,5499.508
8.195,1,0.031452265,0,94.3462,1999,1,0,1,925.462
7.09,1,0.00721395,0,47.9034,2004,2,1,1,583.2408
6.095,1,0.08119662,11,141.4154,1997,2,0,1,1418.154
19.35,2,0.049916364,6,80.2644,2007,1,1,1,942.7728
6.15,1,0.04627095,0,99.3384,1997,2,0,1,2364.9216
12.857645,2,0.02747716,3,87.9856,1985,1,2,3,3251.767
12.857645,2,0.10470454,6,125.2678,1985,2,0,0,254.3356
17.7,1,0.012540003,9,167.0474,2004,2,1,1,5895.659
17.85,1,0.14702383,1,93.7436,2009,1,2,2,1134.5232
9.395,1,0.1596576,14,224.972,2002,1,1,1,7696.648
15.75,1,0.14139862,7,250.5382,2007,1,1,1,2775.7202
7.475,1,0.1488218,6,241.2854,2002,1,1,1,5317.0786
7.075,1,0.0,5,98.0068,2009,1,2,2,874.8612
6.445,1,0.029691761,0,92.6436,1997,2,0,1,1039.9796
19.1,1,0.096715525,6,235.0958,2004,2,1,1,3038.0454
20.25,2,0.014790559,4,193.6162,2004,2,1,1,3848.324
15.0,2,0.054378252,3,59.1904,1997,2,0,1,527.3136
6.67,2,0.12342859,13,89.1514,1997,2,0,1,2390.8877
12.857645,2,0.029943462,3,60.222,1985,1,2,3,1677.816
16.7,2,0.05236806,5,112.7176,1987,0,2,1,801.6232
7.07,1,0.09386114,13,115.5834,2002,1,1,1,1267.0175
6.48,1,0.033968646,13,148.0076,2002,1,1,1,886.8456
19.0,2,0.17315409,6,228.272,1998,1,2,0,452.744
13.35,1,0.13973522,5,147.5392,2002,1,1,1,3877.6191
12.857645,1,0.043351896,6,146.6418,1985,1,2,3,4414.254
12.857645,1,0.042086653,7,122.4388,1985,1,2,3,5448.907
9.695,2,0.12848268,0,223.9404,1999,1,0,1,4950.8887
15.0,1,0.049357075,14,62.6168,2007,1,1,1,958.752
11.15,2,0.008326735,4,149.9708,2007,1,1,1,1956.1204
20.85,1,0.021362955,6,103.2306,1999,1,0,1,2404.2039
9.8,1,0.15142094,11,194.3478,1998,1,2,0,387.4956
16.35,1,0.03251182,10,165.0842,1987,0,2,1,994.7052
9.6,2,0.022323659,1,101.299,2002,1,1,1,1754.383
12.857645,1,0.019292355,8,129.9994,1985,1,2,3,3340.9844
13.35,1,0.048124444,1,216.7166,2002,1,1,1,3918.8987
20.7,1,0.09261307,4,76.367,1987,0,2,1,306.268
12.857645,1,0.094697274,0,158.4604,1985,1,2,3,4278.4307
16.2,1,0.035984103,6,260.6278,2002,1,1,1,4425.5728
12.857645,2,0.056596983,13,230.9984,1985,1,2,3,9267.936
12.857645,1,0.2047,5,76.867,1985,2,0,0,229.701
12.857645,2,0.020618323,2,129.3994,1985,1,2,3,2055.9905
5.5,1,0.04709821,11,101.3016,1997,2,0,1,3339.6528
15.1,2,0.08758412,6,221.7456,2002,1,1,1,6410.3223
15.7,2,0.0380789,5,122.9046,2007,1,1,1,1992.0736
7.895,4,0.095102094,2,104.4332,2007,1,1,1,2870.9297
12.857645,2,0.011953902,3,164.5184,1985,1,2,3,2807.0127
17.35,2,0.06279938,0,88.183,1987,0,2,1,539.298
7.285,1,0.03112571,9,174.3054,1987,0,2,1,4377.635
20.25,1,0.02600589,9,180.9976,2002,1,1,1,2716.464
12.857645,1,0.09246392,13,190.9504,1985,2,0,0,383.5008
15.85,1,0.10776517,14,59.5904,1999,1,0,1,703.0848
6.17,1,0.010647477,10,66.3826,1999,1,0,1,1937.478
19.5,1,0.01574934,9,182.2608,1999,1,0,1,3307.6943
19.2,1,0.07762805,9,197.611,1999,1,0,1,3142.576
16.7,1,0.0,3,181.2292,2009,1,2,2,2554.0088
20.85,2,0.05669573,1,104.0648,2009,1,2,2,1869.5664
14.5,2,0.06399307,1,260.4594,2002,1,1,1,5494.847
11.395,2,0.069529265,10,233.1616,1987,0,2,1,6093.4014
7.97,1,0.03445295,14,174.0422,1997,2,0,1,2586.633
7.71,2,0.06670068,13,55.2956,1999,1,0,1,1255.6989
19.25,2,0.034699738,3,141.7496,1997,2,0,1,4093.3384
7.075,1,0.05834694,4,142.2128,1997,2,0,1,3163.8816
12.857645,2,0.0652031,10,166.0816,1985,1,2,3,5033.448
11.6,2,0.07892957,5,79.9276,1997,2,0,1,1137.1864
12.857645,1,0.18251488,6,98.77,1985,1,2,3,2696.49
12.1,1,0.016895292,7,178.566,2009,1,2,2,898.83
10.0,1,0.07337975,8,118.244,1997,2,0,1,2756.412
14.35,1,0.08075758,0,81.896,2002,1,1,1,878.856
10.395,1,0.112271495,13,58.222,1999,1,0,1,659.142
12.857645,1,0.15374139,4,182.6292,1985,2,0,0,182.4292
8.1,1,0.12792952,6,211.4902,1987,0,2,1,3610.6333
8.05,2,0.07838564,6,256.4646,2004,2,1,1,5153.292
9.195,2,0.07850214,10,108.7596,2007,1,1,1,2588.6304
20.7,2,0.04768483,4,212.5876,2009,1,2,2,1286.3256
15.7,2,0.123159654,6,110.1544,2007,1,1,1,1230.3984
12.857645,2,0.0,6,60.2194,1985,1,2,3,1733.7432
12.857645,1,0.053392943,8,193.8162,1985,2,0,0,384.8324
16.5,1,0.036715906,9,180.0318,2002,1,1,1,3969.4995
9.0,1,0.06523693,13,176.437,2004,2,1,1,7763.228
6.785,2,0.041947547,10,41.2112,1987,0,2,1,809.6128
19.5,1,0.0828885,3,178.6002,2009,1,2,2,1253.7014
7.575,1,0.05539012,4,195.2768,1997,2,0,1,5715.227
18.2,2,0.012194556,6,57.7904,1987,0,2,1,1464.76
16.75,1,0.060495242,4,169.8106,1987,0,2,1,3251.1013
7.47,2,0.0,5,214.3218,2004,2,1,1,4274.436
12.857645,2,0.014753811,6,231.7958,1985,1,2,3,5375.0034
12.857645,1,0.16070749,6,38.019,1985,1,2,3,1318.284
13.85,2,0.08562236,10,119.4124,2009,1,2,2,2251.7356
6.635,2,0.046350908,5,37.4506,2007,1,1,1,1176.4686
6.11,2,0.10292088,6,130.4968,1997,2,0,1,3523.4136
15.25,1,0.02660478,13,86.2198,2004,2,1,1,610.5386
15.85,1,0.0,3,96.4094,2004,2,1,1,1237.7222
15.2,1,0.031860325,13,235.1248,1998,1,2,0,474.0496
12.857645,2,0.0,13,52.6666,1985,1,2,3,717.7324
20.75,0,0.021250002,14,150.5024,1997,2,0,1,2580.6409
10.195,1,0.15993695,5,143.2154,1997,2,0,1,2552.6772
7.605,1,0.12950315,6,164.021,2002,1,1,1,3914.904
18.0,2,0.14268884,6,88.5514,1997,2,0,1,796.9626
12.857645,1,0.17948441,4,228.9352,1985,2,0,0,916.1408
18.35,1,0.08916306,9,191.3504,2002,1,1,1,3259.7568
6.59,1,0.10576149,6,84.8908,1999,1,0,1,1677.816
13.8,4,0.056960814,13,230.0984,1999,1,0,1,3707.1743
21.2,2,0.00704098,15,173.5738,1997,2,0,1,2954.1545
10.5,2,0.011026594,13,166.4842,2009,1,2,2,2652.547
8.97,1,0.093203254,9,52.7956,2002,1,1,1,1037.3164
12.857645,1,0.026916794,11,50.9666,1985,1,2,3,717.7324
10.6,1,0.0352643,8,86.1224,2002,1,1,1,426.112
13.65,1,0.015908424,1,231.1668,2004,2,1,1,6911.004
19.0,1,0.017719276,8,211.0244,1997,2,0,1,3811.0393
12.857645,2,0.0353342,13,115.3518,1985,1,2,3,2277.036
12.857645,1,0.0656525,0,48.9034,1985,2,0,0,48.6034
6.865,1,0.05691904,13,212.8218,1999,1,0,1,5770.489
10.8,2,0.048143294,0,40.2138,1997,2,0,1,690.4346
16.7,1,0.022047313,4,110.2886,1987,0,2,1,1890.2062
12.857645,1,0.090427265,7,126.2336,1985,1,2,3,3195.84
15.15,1,0.027779253,0,150.1708,1997,2,0,1,1504.708
10.5,1,0.0,9,238.3248,1998,1,2,0,711.0744
17.6,1,0.008033611,4,174.2422,2009,1,2,2,4311.055
19.35,1,0.03308847,10,175.4738,1997,2,0,1,521.3214
15.7,1,0.16066302,9,59.4562,1997,2,0,1,829.5868
18.1,0,0.17897572,4,155.5288,2007,1,1,1,1571.288
10.195,2,0.017627887,15,239.6538,2004,2,1,1,2403.538
12.857645,3,0.0194158,1,41.6454,1985,2,0,0,83.8908
